Id_variante,Id_ubicacion_genomica,Frec_alelica,Significancia_clinica
2369,219,0.17,Probablemente Patogénica
5273,150,0.14,Significado Incierto
9290,279,0.18,Benigna
1252,57,0.34,Significado Incierto
8826,290,0.13,Probablemente Patogénica
356,80,0.17,Patogénica
7700,96,0.32,Significado Incierto
3954,66,0.16,Probablemente Patogénica
9091,244,0.41,Benigna
5403,199,0.12,Significado Incierto
932,271,0.03,Significado Incierto
9189,101,0.08,Patogénica
5637,261,0.12,Benigna
4002,171,0.29,Benigna
9052,70,0.13,Probablemente Patogénica
259,40,0.29,Significado Incierto
5434,45,0.13,Probablemente Patogénica
481,16,0.33,Significado Incierto
7326,72,0.11,Benigna
8491,168,0.41,Benigna
2454,182,0.33,Benigna
9028,133,0.17,Probablemente Patogénica
9174,56,0.36,Benigna
7789,48,0.02,Probablemente Patogénica
5468,144,0.22,Patogénica
6341,165,0.36,Probablemente Patogénica
9732,281,0.41,Benigna
2274,49,0.28,Significado Incierto
2552,84,0.24,Benigna
727,142,0.2,Probablemente Patogénica
945,153,0.23,Benigna
626,277,0.42,Probablemente Patogénica
4358,103,0.29,Significado Incierto
6534,25,0.05,Significado Incierto
1396,205,0.48,Patogénica
5123,278,0.3,Patogénica
2818,228,0.01,Probablemente Patogénica
9207,280,0.34,Probablemente Patogénica
517,83,0.04,Probablemente Patogénica
8225,52,0.46,Benigna
945,199,0.13,Significado Incierto
103,171,0.5,Significado Incierto
5348,187,0.39,Benigna
7146,18,0.46,Significado Incierto
9545,26,0.24,Benigna
1693,298,0.26,Significado Incierto
4172,152,0.22,Benigna
5897,19,0.36,Significado Incierto
5611,163,0.17,Benigna
3619,27,0.48,Benigna
16,26,0.32,Benigna
5445,53,0.16,Significado Incierto
988,26,0.43,Benigna
7810,283,0.2,Significado Incierto
8274,252,0.21,Significado Incierto
9106,166,0.06,Significado Incierto
2344,100,0.32,Benigna
149,295,0.06,Significado Incierto
7140,228,0.14,Significado Incierto
5689,119,0.11,Probablemente Patogénica
100,194,0.37,Significado Incierto
2346,85,0.05,Significado Incierto
2450,266,0.47,Patogénica
91,96,0.29,Benigna
6925,190,0.24,Benigna
7349,25,0.46,Significado Incierto
5174,286,0.09,Benigna
6995,213,0.07,Benigna
4816,70,0.39,Significado Incierto
5878,183,0.02,Probablemente Patogénica
9501,247,0.06,Benigna
6782,40,0.33,Significado Incierto
8619,155,0.06,Significado Incierto
6586,218,0.1,Significado Incierto
5232,258,0.13,Benigna
4680,50,0.05,Significado Incierto
7453,238,0.28,Benigna
951,78,0.22,Significado Incierto
8102,119,0.2,Significado Incierto
9729,114,0.41,Probablemente Patogénica
5261,60,0.03,Benigna
1925,134,0.07,Benigna
4407,154,0.14,Benigna
2859,189,0.17,Significado Incierto
9770,233,0.39,Benigna
4856,224,0.3,Benigna
1889,159,0.4,Benigna
9467,15,0.31,Benigna
1693,190,0.34,Significado Incierto
1907,149,0.12,Patogénica
8895,127,0.33,Benigna
3310,177,0.19,Significado Incierto
6670,225,0.31,Probablemente Patogénica
2310,83,0.35,Benigna
4395,64,0.19,Probablemente Patogénica
7614,70,0.4,Significado Incierto
8946,95,0.4,Significado Incierto
4895,13,0.13,Benigna
6050,37,0.36,Significado Incierto
2910,111,0.1,Benigna
1248,9,0.38,Significado Incierto
7382,122,0.19,Probablemente Patogénica
4390,166,0.13,Significado Incierto
607,123,0.11,Significado Incierto
2831,252,0.25,Probablemente Patogénica
8738,128,0.49,Significado Incierto
2474,275,0.03,Significado Incierto
2236,258,0.5,Probablemente Patogénica
8446,53,0.02,Probablemente Patogénica
8460,213,0.24,Significado Incierto
4736,237,0.23,Significado Incierto
3482,49,0.05,Patogénica
2089,10,0.1,Significado Incierto
7361,61,0.41,Significado Incierto
8856,277,0.13,Probablemente Patogénica
1122,2,0.17,Probablemente Patogénica
6681,198,0.2,Significado Incierto
162,20,0.1,Patogénica
636,52,0.37,Significado Incierto
2754,83,0.08,Significado Incierto
5664,215,0.34,Significado Incierto
3995,215,0.39,Significado Incierto
5817,3,0.44,Probablemente Patogénica
4892,177,0.06,Patogénica
6774,223,0.03,Probablemente Patogénica
3109,31,0.03,Significado Incierto
9354,136,0.34,Significado Incierto
2821,214,0.17,Benigna
4174,36,0.42,Significado Incierto
4622,269,0.27,Patogénica
3740,194,0.44,Benigna
3169,65,0.39,Benigna
6627,111,0.43,Significado Incierto
3546,72,0.47,Benigna
1151,57,0.18,Significado Incierto
3565,161,0.29,Significado Incierto
5675,282,0.32,Patogénica
7860,184,0.05,Benigna
3578,132,0.28,Benigna
4433,194,0.33,Significado Incierto
4027,222,0.48,Probablemente Patogénica
4635,190,0.43,Probablemente Patogénica
3252,300,0.4,Patogénica
5521,262,0.12,Significado Incierto
1293,185,0.11,Benigna
2015,182,0.1,Significado Incierto
1406,293,0.32,Significado Incierto
3196,14,0.25,Significado Incierto
7231,239,0.1,Benigna
2609,225,0.47,Probablemente Patogénica
4669,270,0.36,Probablemente Patogénica
7796,195,0.34,Patogénica
8081,65,0.41,Significado Incierto
4001,12,0.38,Probablemente Patogénica
2,134,0.09,Significado Incierto
8863,103,0.05,Significado Incierto
7816,44,0.17,Benigna
8963,54,0.44,Significado Incierto
8933,278,0.36,Significado Incierto
2317,195,0.1,Significado Incierto
8897,259,0.3,Benigna
8862,275,0.22,Significado Incierto
5683,253,0.08,Benigna
4540,20,0.14,Benigna
7727,216,0.06,Probablemente Patogénica
3270,54,0.18,Probablemente Patogénica
5130,261,0.3,Probablemente Patogénica
1225,90,0.11,Benigna
5865,9,0.31,Benigna
1945,14,0.41,Patogénica
7683,146,0.26,Significado Incierto
4277,202,0.18,Benigna
8943,138,0.48,Significado Incierto
5404,58,0.08,Significado Incierto
5884,20,0.5,Significado Incierto
463,281,0.5,Benigna
6749,147,0.5,Benigna
9529,233,0.34,Significado Incierto
2132,132,0.03,Probablemente Patogénica
3958,295,0.33,Benigna
5080,217,0.33,Significado Incierto
8417,135,0.04,Benigna
9318,232,0.21,Significado Incierto
4585,135,0.38,Benigna
3734,82,0.27,Significado Incierto
7066,11,0.4,Significado Incierto
6100,100,0.25,Probablemente Patogénica
3071,116,0.26,Benigna
9423,255,0.37,Significado Incierto
9301,127,0.03,Patogénica
1954,48,0.43,Significado Incierto
4249,208,0.44,Significado Incierto
7105,158,0.32,Significado Incierto
6030,140,0.49,Significado Incierto
49,195,0.42,Significado Incierto
156,189,0.24,Benigna
2218,203,0.31,Benigna
4388,129,0.17,Significado Incierto
4244,58,0.37,Significado Incierto
2767,260,0.26,Probablemente Patogénica
5959,23,0.23,Benigna
3185,3,0.48,Benigna
7195,277,0.3,Probablemente Patogénica
2654,120,0.1,Benigna
2693,187,0.23,Significado Incierto
8084,87,0.4,Benigna
3698,215,0.3,Significado Incierto
5003,87,0.03,Significado Incierto
4828,147,0.29,Benigna
3945,185,0.1,Significado Incierto
1939,220,0.35,Benigna
9429,146,0.03,Benigna
5412,209,0.28,Significado Incierto
7594,137,0.3,Benigna
9177,155,0.12,Benigna
2486,80,0.09,Probablemente Patogénica
5947,278,0.35,Significado Incierto
4721,258,0.08,Probablemente Patogénica
542,248,0.13,Benigna
6843,140,0.1,Significado Incierto
7110,211,0.49,Benigna
3631,207,0.15,Benigna
5225,129,0.06,Significado Incierto
5322,68,0.22,Probablemente Patogénica
7538,244,0.49,Significado Incierto
1975,194,0.48,Probablemente Patogénica
6535,81,0.29,Benigna
4494,266,0.45,Probablemente Patogénica
6412,187,0.22,Probablemente Patogénica
5642,207,0.18,Probablemente Patogénica
7289,155,0.04,Significado Incierto
1625,226,0.38,Patogénica
3359,215,0.13,Significado Incierto
4955,38,0.28,Significado Incierto
1488,259,0.21,Patogénica
868,155,0.18,Significado Incierto
8568,38,0.11,Significado Incierto
8472,124,0.34,Significado Incierto
7078,264,0.24,Significado Incierto
981,194,0.28,Probablemente Patogénica
5524,113,0.2,Benigna
8907,53,0.38,Patogénica
8186,86,0.04,Probablemente Patogénica
5345,171,0.19,Benigna
9564,92,0.43,Benigna
605,43,0.17,Significado Incierto
1828,31,0.3,Significado Incierto
3936,256,0.16,Significado Incierto
7526,82,0.05,Benigna
4032,53,0.37,Probablemente Patogénica
2813,50,0.47,Significado Incierto
4743,242,0.34,Benigna
5893,236,0.27,Benigna
928,257,0.39,Benigna
978,166,0.13,Significado Incierto
2983,263,0.14,Significado Incierto
5498,43,0.13,Probablemente Patogénica
1078,141,0.17,Significado Incierto
6531,214,0.27,Benigna
7380,34,0.06,Benigna
6891,55,0.31,Benigna
3337,5,0.04,Patogénica
9354,210,0.03,Probablemente Patogénica
3783,277,0.37,Benigna
4060,271,0.08,Probablemente Patogénica
9625,104,0.05,Probablemente Patogénica
3731,131,0.04,Significado Incierto
335,62,0.18,Benigna
9463,86,0.35,Benigna
6275,1,0.26,Significado Incierto
9366,216,0.37,Significado Incierto
5181,293,0.07,Probablemente Patogénica
5140,49,0.49,Probablemente Patogénica
4778,172,0.49,Patogénica
7522,10,0.37,Benigna
9175,148,0.29,Patogénica
4625,145,0.26,Benigna
9427,119,0.3,Significado Incierto
7342,279,0.37,Benigna
6417,297,0.33,Significado Incierto
94,194,0.31,Patogénica
6323,176,0.22,Patogénica
2352,115,0.18,Significado Incierto
5050,108,0.04,Significado Incierto
5956,243,0.32,Significado Incierto
8665,125,0.29,Significado Incierto
9562,230,0.38,Probablemente Patogénica
9447,183,0.05,Probablemente Patogénica
5486,77,0.04,Benigna
3188,158,0.35,Benigna
6252,232,0.11,Significado Incierto
601,96,0.23,Benigna
3614,133,0.19,Probablemente Patogénica
2151,147,0.32,Significado Incierto
8947,68,0.23,Significado Incierto
1282,297,0.1,Probablemente Patogénica
4006,123,0.42,Probablemente Patogénica
7561,103,0.27,Significado Incierto
9400,275,0.16,Benigna
4939,51,0.18,Significado Incierto
9606,104,0.08,Significado Incierto
197,235,0.34,Benigna
1216,78,0.2,Patogénica
3631,170,0.21,Significado Incierto
1217,194,0.33,Significado Incierto
5545,280,0.26,Probablemente Patogénica
1073,217,0.06,Benigna
6604,106,0.17,Benigna
5142,101,0.09,Significado Incierto
3841,54,0.06,Probablemente Patogénica
5497,244,0.21,Benigna
8324,22,0.25,Benigna
2101,127,0.07,Benigna
1083,4,0.25,Significado Incierto
